,Journal title,Journal ISSN (print version),Journal EISSN (online version),APC amount,Currency
7548,BMJ Open Gastroenterology,,2054-4774,1700.0,GBP - Pound Sterling
7549,Royal Society Open Science,,2054-5703,900.0,GBP - Pound Sterling
7555,Asthma Research and Practice,,2054-7064,1370.0,GBP - Pound Sterling
7556,Journal of Clinical Movement Disorders,,2054-7072,1370.0,GBP - Pound Sterling
7557,Fertility Research and Practice,,2054-7099,1370.0,GBP - Pound Sterling
7558,Open Health Data,,2054-7102,100.0,GBP - Pound Sterling
7559,Journal of Hip Preservation Surgery,,2054-8397,1000.0,USD - US Dollar
7560,Science and Technology of Archaeological Research,,2054-8923,1200.0,USD - US Dollar
7563,"Maternal Health, Neonatology and Perinatology",,2054-958X,1370.0,GBP - Pound Sterling
7564,Journal of Pharmaceutical Health Care and Sciences,,2055-0294,1420.0,GBP - Pound Sterling
7565,Nanocomposites,,2055-0332,600.0,USD - US Dollar
7566,Advanced Manufacturing: Polymer & Composites Science,,2055-0359,800.0,USD - US Dollar
7567,Echo Research and Practice,,2055-0464,750.0,GBP - Pound Sterling
7569,BMC Nutrition,,2055-0928,1370.0,GBP - Pound Sterling
7570,"Tropical Diseases, Travel Medicine and Vaccines",,2055-0936,1370.0,GBP - Pound Sterling
7571,npj Primary Care Respiratory Medicine,,2055-1010,2800.0,USD - US Dollar
7572,Health Psychology Open,,2055-1029,1500.0,USD - US Dollar
7573,Palgrave Communications,,2055-1045,750.0,GBP - Pound Sterling
7574,Journal of Feline Medicine and Surgery Open Reports,,2055-1169,640.0,USD - US Dollar
7575,Digital Health,,2055-2076,1500.0,USD - US Dollar
7576,"Multiple Sclerosis Journal - Experimental, Translational and Clinical",,2055-2173,2000.0,USD - US Dollar
7577,Obesity Science & Practice,,2055-2238,2500.0,USD - US Dollar
7578,Open Quaternary,,2055-298X,300.0,GBP - Pound Sterling
7579,The Depositional Record,,2055-4877,2000.0,USD - US Dollar
7580,npj Biofilms and Microbiomes,,2055-5008,3300.0,USD - US Dollar
7581,Porcine Health Management,,2055-5660,1370.0,GBP - Pound Sterling
7582,Pilot and Feasibility Studies,,2055-5784,1565.0,GBP - Pound Sterling
7583,ESC Heart Failure,,2055-5822,2500.0,USD - US Dollar
7585,Biomaterials Research,,2055-7124,1370.0,GBP - Pound Sterling
7586,BJR|case reports,,2055-7159,400.0,GBP - Pound Sterling
7587,Contraception and Reproductive Medicine,,2055-7426,1370.0,GBP - Pound Sterling
7588,Microsystems & Nanoengineering,,2055-7434,2650.0,GBP - Pound Sterling
7589,BMJ Open Sport & Exercise Medicine,,2055-7647,1500.0,GBP - Pound Sterling
7591,Clinical Diabetes and Endocrinology,,2055-8260,1370.0,GBP - Pound Sterling
7593,Zoological Letters,,2056-306X,1370.0,GBP - Pound Sterling
7594,BMC Zoology,,2056-3132,1370.0,GBP - Pound Sterling
7595,International Journal of Energy Production and Management,2056-3272,2056-3280,950.0,USD - US Dollar
7596,Concussion,,2056-3299,1415.0,USD - US Dollar
7598,Remote Sensing in Ecology and Conservation,,2056-3485,1921.0,USD - US Dollar
7599,Evolution Letters,,2056-3744,2500.0,USD - US Dollar
7601,npj Aging and Mechanisms of Disease,,2056-3973,2650.0,GBP - Pound Sterling
7602,The Journal of Pathology: Clinical Research,,2056-4538,2000.0,USD - US Dollar
7604,BJPsych Open,,2056-4724,1250.0,GBP - Pound Sterling
7607,Open Journal of Bioresources,,2056-5542,100.0,GBP - Pound Sterling
7608,Future Science OA,,2056-5623,950.0,GBP - Pound Sterling
7610,RMD Open,,2056-5933,1950.0,GBP - Pound Sterling
7611,Cell Discovery,,2056-5968,2100.0,USD - US Dollar
7612,npj Quantum Information,,2056-6387,3300.0,USD - US Dollar
7615,Global Challenges ,,2056-6646,3500.0,USD - US Dollar
7618,npj Systems Biology and Applications,,2056-7189,2800.0,USD - US Dollar
7619,Journal of Congenital Cardiology,,2056-7251,1370.0,GBP - Pound Sterling
7620,Journal of Agricultural and Applied Economics,,2056-7405,1575.0,USD - US Dollar
7621,Research Involvement and Engagement,,2056-7529,1565.0,GBP - Pound Sterling
7623,npj Science of Learning,,2056-7936,3300.0,USD - US Dollar
7624,npj Genomic Medicine,,2056-7944,3300.0,USD - US Dollar
7625,BDJ Open,,2056-807X,2295.0,USD - US Dollar
7628,Acta Crystallographica Section E: Crystallographic Communications,,2056-9890,250.0,USD - US Dollar
7629,International Journal of Retina and Vitreous ,,2056-9920,1000.0,USD - US Dollar
7633,Translational Research in Oral Oncology,,2057-178X,1500.0,USD - US Dollar
7634,Journal of Cybersecurity,,2057-2093,750.0,GBP - Pound Sterling
7635,Neuroscience of Consciousness,,2057-2107,1760.0,USD - US Dollar
7636,Cardio-Oncology,,2057-3804,1370.0,GBP - Pound Sterling
7637,npj Computational Materials,,2057-3960,2000.0,USD - US Dollar
7638,npj Regenerative Medicine,,2057-3995,3300.0,USD - US Dollar
7639,Clinical and Experimental Dental Research,,2057-4347,2250.0,USD - US Dollar
7641,Citizen Science: Theory and Practice,,2057-4991,500.0,GBP - Pound Sterling
7642,Microbial Genomics,,2057-5858,1500.0,GBP - Pound Sterling
7645,Cardiac Failure Review ,2057-7540,2057-7559,1050.0,GBP - Pound Sterling
7647,Journal of Interdisciplinary Nanomedicine,,2058-3273,2000.0,USD - US Dollar
7649,Acta Radiologica Open,,2058-4601,600.0,GBP - Pound Sterling
7650,EFORT Open Reviews,,2058-5241,1000.0,EUR - Euro
7656,Big Data Analytics,,2058-6345,1370.0,GBP - Pound Sterling
7657,International Journal of Immunopathology and Pharmacology,,2058-7384,2000.0,USD - US Dollar
7658,Cell Death Discovery,,2058-7716,1115.0,GBP - Pound Sterling
7659,International Journal of Transport Development and Integration,2058-8305,2058-8313,950.0,USD - US Dollar
7660,BJHS Themes,2058-850X,2056-354X,1695.0,GBP - Pound Sterling
7661,Research Integrity and Peer Review,,2058-8615,1370.0,GBP - Pound Sterling
7662,npj Vaccines,,2059-0105,3300.0,USD - US Dollar
7663,Advances in Simulation,,2059-0628,1565.0,GBP - Pound Sterling
7665,Music & Science,,2059-2043,400.0,GBP - Pound Sterling
7666,Signal Transduction and Targeted Therapy,,2059-3635,2300.0,GBP - Pound Sterling
7669,Global Sustainability,,2059-4798,1870.0,GBP - Pound Sterling
7670,Journal of Open Humanities Data,,2059-481X,300.0,GBP - Pound Sterling
7671,"Scars, Burns & Healing",,2059-5131,750.0,GBP - Pound Sterling
7673,Neuronal Signaling,,2059-6553,2225.0,USD - US Dollar
7674,Journal of Concussion,,2059-7002,2000.0,USD - US Dollar
7675,ESMO Open,,2059-7029,2550.0,EUR - Euro
7676,npj Clean Water,,2059-7037,2800.0,USD - US Dollar
7677,Cancers of the Head & Neck,,2059-7347,1370.0,GBP - Pound Sterling
7678,BMJ Global Health,,2059-7908,3000.0,GBP - Pound Sterling
7679,Methodological Innovations,,2059-7991,750.0,USD - US Dollar
7680,Journal of Clinical and Translational Science,,2059-8661,1750.0,USD - US Dollar
7681,Stroke and Vascular Neurology,2059-8688,2059-8696,1500.0,GBP - Pound Sterling
7689,Journal of Behavioral Addictions,,2063-5303,850.0,EUR - Euro
7690,European Chemical Bulletin,,2063-5346,100.0,EUR - Euro
7702,Geo Journal of Tourism and Geosites,2065-0817,2065-1198,190.0,EUR - Euro
7711,Journal of Applied Computer Science & Mathematics,2066-4273,2066-3129,35.0,USD - US Dollar
7713,Practica Farmaceutica,2066-5563,2069-6671,880.0,RON - Romanian Leu
7716,International Journal of Medical Dentistry,2066-6063,,250.0,EUR - Euro
7722,Romanian Journal of Oral Rehabilitation,2066-7000,2601-4661,550.0,RON - Romanian Leu
7734,Risk in Contemporary Economy,,2067-0532,300.0,RON - Romanian Leu
7744,Brain: Broad Research in Artificial Intelligence and Neuroscience,,2067-3957,150.0,EUR - Euro
7751,"Brand Research in Accounting, Negociation and Distribution",,2067-8177,80.0,EUR - Euro
7754,Valahian Journal of Economic Studies,2067-9440,,100.0,EUR - Euro
7755,Revue Valaque d’Etudes Economiques,2067-9459,,100.0,EUR - Euro
7768,Challenges of the Knowledge Society,2068-7796,,100.0,EUR - Euro
7779,Supply Chain Management Journal,2069-5519,2284-6492,200.0,RON - Romanian Leu
7786,Journal of Scientific Research,2070-0237,2070-0245,10.0,USD - US Dollar
7787,Pakistan Journal of Islamic Research,2070-0326,2618-0820,100.0,USD - US Dollar
7792,Nauka Krasnoârʹâ,2070-7568,,150.0,USD - US Dollar
7797,Sustainability,,2071-1050,1800.0,CHF - Swiss Franc
7800,African Journal of Primary Health Care & Family Medicine,2071-2928,2071-2936,1257.0,ZAR - Rand
7802,المجلة العراقية لبحوث السوق وحماية المستهلك,2071-3894,2523-6180,125000.0,IQD - Iraqi Dinar
7807,Journal of Animal and Plant Sciences,,2071-7024,190.0,USD - US Dollar
7818,V Mire Naučnyh Otkrytij,2072-0831,2307-9428,100.0,USD - US Dollar
7820,"Journal of Health, Population and Nutrition",,2072-1315,1370.0,GBP - Pound Sterling
7828,Remote Sensing,2072-4292,,2200.0,CHF - Swiss Franc
7832,Nutrients,,2072-6643,2000.0,CHF - Swiss Franc
7833,Toxins,2072-6651,,2000.0,CHF - Swiss Franc
7834,Micromachines,,2072-666X,1600.0,CHF - Swiss Franc
7835,Cancers,2072-6694,,2200.0,CHF - Swiss Franc
7854,eco.mont -  Journal on Protected Mountain Areas Research and Management,2073-106X,2073-1558,400.0,EUR - Euro
7857,Computers,2073-431X,,1000.0,CHF - Swiss Franc
7858,Games,2073-4336,,1000.0,CHF - Swiss Franc
7859,Catalysts,2073-4344,,1800.0,CHF - Swiss Franc
7860,Crystals,2073-4352,,1600.0,CHF - Swiss Franc
7861,Polymers,,2073-4360,1800.0,CHF - Swiss Franc
7862,Викладання мов у вищих навчальних закладах освіти на сучасному етапі: Міжпредметні зв'язки,2073-4379,,500.0,UAH - Hryvnia
7863,Agronomy ,,2073-4395,1000.0,CHF - Swiss Franc
7864,Cells,,2073-4409,2000.0,CHF - Swiss Franc
7865,Genes,2073-4425,,1800.0,CHF - Swiss Franc
7866,Atmosphere,,2073-4433,1500.0,CHF - Swiss Franc
7867,Water,2073-4441,,1800.0,CHF - Swiss Franc
7868,Land,,2073-445X,1400.0,CHF - Swiss Franc
7869,Antibodies,,2073-4468,1000.0,CHF - Swiss Franc
7870,Проблеми екології та медицини,2073-4662,2519-2302,490.0,UAH - Hryvnia
7872, التربية الرياضية,2073-6452,2707-5729,100.0,USD - US Dollar
7875,Journal of Research in Education Sciences,2073-753X,,3000.0,TWD - New Taiwan Dollar
7882,Symmetry,2073-8994,,1400.0,CHF - Swiss Franc
7884,Bylye Gody,2073-9745,2310-0028,15000.0,RUB - Russian Ruble
7890,Southern African Journal of Gynaecological Oncology,2074-2835,2220-105X,10000.0,ZAR - Rand
7893,Akademičnij Oglâd,2074-5354,,350.0,UAH - Hryvnia
7894,Êvropejsʹkij Vektor Ekonomìčnogo Rozvitku,2074-5362,,350.0,UAH - Hryvnia
7902,الإيضاح,2075-0307,2664-3375,8000.0,PKR - Pakistan Rupee
7907,Minerals,,2075-163X,1600.0,CHF - Swiss Franc
7908,Axioms,2075-1680,,1000.0,CHF - Swiss Franc
7909,Machines,2075-1702,,1000.0,CHF - Swiss Franc
7910,Life,2075-1729,,1000.0,CHF - Swiss Franc
7917,Diagnostics,2075-4418,,1400.0,CHF - Swiss Franc
7918,Journal of Personalized Medicine,2075-4426,,1400.0,CHF - Swiss Franc
7919,Galaxies,2075-4434,,1000.0,CHF - Swiss Franc
7920,Lubricants,2075-4442,,1000.0,CHF - Swiss Franc
7921,Insects,2075-4450,,1400.0,CHF - Swiss Franc
7922,Epigenomes ,,2075-4655,1000.0,CHF - Swiss Franc
7923,Sports,2075-4663,,1000.0,CHF - Swiss Franc
7924,Societies,2075-4698,,1000.0,CHF - Swiss Franc
7925,Metals,2075-4701,,1600.0,CHF - Swiss Franc
7926,Laws,2075-471X,,1000.0,CHF - Swiss Franc
7928,Buildings,2075-5309,,1000.0,CHF - Swiss Franc
7930,"Вісник НЮУ імені Ярослава Мудрого: Серія: Філософія, філософія права, політологія, соціологія",2075-7190,2663-5704,750.0,UAH - Hryvnia
7937,Arts,2076-0752,,1000.0,CHF - Swiss Franc
7938,Social Sciences,2076-0760,,1000.0,CHF - Swiss Franc
7939,Humanities,2076-0787,,1000.0,CHF - Swiss Franc
7940,Pathogens,2076-0817,,1500.0,CHF - Swiss Franc
7941,Actuators,,2076-0825,1000.0,CHF - Swiss Franc
7943,Trudy Odesskogo Politehničeskogo Universiteta,2076-2429,2223-3814,15.0,EUR - Euro
7945,Microorganisms,2076-2607,,1600.0,CHF - Swiss Franc
7946,Animals,,2076-2615,1600.0,CHF - Swiss Franc
7950,Geosciences,2076-3263,,1200.0,CHF - Swiss Franc
7951,Medical Sciences,,2076-3271,1000.0,CHF - Swiss Franc
7952,Behavioral Sciences,2076-328X,,1000.0,CHF - Swiss Franc
7953,Environments,2076-3298,,1000.0,CHF - Swiss Franc
7954,Administrative Sciences,,2076-3387,1000.0,CHF - Swiss Franc
7955,Applied Sciences,2076-3417,,1800.0,CHF - Swiss Franc
7956,Brain Sciences,,2076-3425,1600.0,CHF - Swiss Franc
7957,Microarrays,,2076-3905,350.0,CHF - Swiss Franc
7958,Antioxidants,,2076-3921,1600.0,CHF - Swiss Franc
7959,Vaccines,2076-393X,,1800.0,CHF - Swiss Franc
7971,Membranes,2077-0375,,1400.0,CHF - Swiss Franc
7972,Journal of Clinical Medicine,,2077-0383,2200.0,CHF - Swiss Franc
7973,Agriculture ,,2077-0472,1400.0,CHF - Swiss Franc
7976,Journal of Marine Science and Engineering ,,2077-1312,1400.0,CHF - Swiss Franc
7977,Religions,,2077-1444,1000.0,CHF - Swiss Franc
7978,GW-Unterricht,2077-1517,2414-4169,50.0,EUR - Euro
7980,Sovremennye Issledovaniâ Socialʹnyh Problem,2077-1770,2218-7405,150.0,USD - US Dollar
7981,Granì,2077-1800,2413-8738,500.0,UAH - Hryvnia
7989,Вісник проблем біології і медицини,2077-4214,2523-4110,600.0,UAH - Hryvnia
7990,"Law, Democracy & Development",,2077-4907,12000.0,ZAR - Rand
7993,Al-Qadisiyah Journal For Agriculture Sciences,2077-5822,2618-1479,80.0,USD - US Dollar
7999,Scientia Agropecuaria,2077-9917,2306-6741,250.0,USD - US Dollar
8001,Challenges,,2078-1547,1000.0,CHF - Swiss Franc
8002,South African Journal of Information Management,2078-1865,1560-683X,770.0,ZAR - Rand
8003,Information,,2078-2489,1000.0,CHF - Swiss Franc
8008,South African Journal of Business Management,2078-5585,2078-5976,9880.0,ZAR - Rand
8010,South African Family Practice,2078-6190,2078-6204,1727.0,ZAR - Rand
8013,Baghdad Science Journal,2078-8665,2411-7986,175000.0,IQD - Iraqi Dinar
8017,"Вісник Національного технічного університету ""ХПІ"": Серія: Системний аналiз, управління та iнформацiйнi технологiї",2079-0023,2410-2857,600.0,UAH - Hryvnia
8022,Computation,,2079-3197,1000.0,CHF - Swiss Franc
8023,Journal of Intelligence,,2079-3200,1000.0,CHF - Swiss Franc
8026,"Modernizaciâ, Innovaciâ, Razvitie",2079-4665,2411-796X,10000.0,RUB - Russian Ruble
8027,Journal of Functional Biomaterials,2079-4983,,1000.0,CHF - Swiss Franc
8028,Nanomaterials,2079-4991,,2000.0,CHF - Swiss Franc
8032,Biosensors,2079-6374,,1400.0,CHF - Swiss Franc
8033,Antibiotics,,2079-6382,1600.0,CHF - Swiss Franc
8034,Coatings,2079-6412,,1600.0,CHF - Swiss Franc
8035,Fibers,2079-6439,,1000.0,CHF - Swiss Franc
8040,The Indo-Pacific Journal of Phenomenology,2079-7222,1445-7377,650.0,USD - US Dollar
8042,Biology,2079-7737,,1500.0,CHF - Swiss Franc
8045,Reading & Writing,2079-8245,2308-1422,1214.0,ZAR - Rand
8046,Novye Issledovaniâ Tuvy,,2079-8482,10000.0,RUB - Russian Ruble
8048,Зерновое хозяйство России,2079-8725,2079-8733,7000.0,RUB - Russian Ruble
8049,Systems,2079-8954,,1000.0,CHF - Swiss Franc
8050,Journal of Low Power Electronics and Applications,2079-9268,,1000.0,CHF - Swiss Franc
8051,Resources,2079-9276,,1000.0,CHF - Swiss Franc
8052,Cosmetics,,2079-9284,1000.0,CHF - Swiss Franc
8053,Electronics,,2079-9292,1500.0,CHF - Swiss Franc
8054,Diseases,,2079-9721,1000.0,CHF - Swiss Franc
8058,Advances in Science and Technology Research Journal,2080-4075,2299-8624,200.0,EUR - Euro
8067,Inżynieria Ekologiczna,2081-139X,2392-0629,300.0,PLN - Zloty
8070,Polish Journal of Social Rehabilitation,2081-3767,2392-2656,2500.0,PLN - Zloty
8077,Translational Neuroscience,,2081-6936,1500.0,EUR - Euro
8079,International Journal of Electronics and Telecommunications,2081-8491,2300-1933,500.0,PLN - Zloty
8096,Oeconomia Copernicana,2083-1277,2353-1827,950.0,PLN - Zloty
8107,Journal of Water and Land Development,,2083-4535,100.0,USD - US Dollar
8108,Medycyna Ogólna i Nauki o Zdrowiu,2083-4543,2084-4905,100.0,PLN - Zloty
8111,Zdrowie Publiczne,,2083-4829,300.0,PLN - Zloty
8114,Folia Horticulturae,,2083-5965,20.0,EUR - Euro
8115,Polish Journal of Food and Nutrition Sciences,,2083-6007,450.0,EUR - Euro
8120,TransNav: International Journal on Marine Navigation and Safety of Sea Transportation,2083-6473,2083-6481,300.0,EUR - Euro
8123,Polish Maritime Research,,2083-7429,500.0,USD - US Dollar
8127,International Journal of Applied Mathematics and Computer Science,,2083-8492,70.0,EUR - Euro
8131,Polish Hyperbaric Research,,2084-0535,120.0,PLN - Zloty
8154,Current Issues in Pharmacy and Medical Sciences,2084-980X,2300-6676,300.0,PLN - Zloty
8156,Perspektif: Jurnal Ilmu-ilmu Sosial,2085-0328,,750000.0,IDR - Rupiah
8160,Pelangi,2085-1057,2460-3740,300000.0,IDR - Rupiah
8161,Indonesian Journal of Tropical and Infectious Disease,2085-1103,2356-0991,75.0,USD - US Dollar
8165,Edukasi: Jurnal Penelitian dan Artikel Pendidikan,2085-1472,2579-4965,500000.0,IDR - Rupiah
8168,Biosaintifika: Journal of Biology & Biology Education,2085-191X,2338-7610,1500000.0,IDR - Rupiah
8169,Jurnal Komunikasi,2085-1979,2528-2727,1000000.0,IDR - Rupiah
8173,AGROMIX,2085-241X,2599-3003,500000.0,IDR - Rupiah
8175,Rona Teknik Pertanian,2085-2614,2528-2654,200000.0,IDR - Rupiah
8176,Jurnal Agronomi Indonesia,2085-2916,2337-3652,1000000.0,IDR - Rupiah
8178,Jurnal Promkes: The Indonesian Journal of Health Promotion and Health Education,2085-3475,2540-9972,500000.0,IDR - Rupiah
8179,Jurnal Infotel,2085-3688,2460-0997,1000000.0,IDR - Rupiah
8181,English Education Journal: Jurnal Pengembangan Pendidikan dan Pengembangan Pengajaran Bahasa,2085-3750,,300000.0,IDR - Rupiah
8185,JKKI (Jurnal Kedokteran dan Kesehatan Indonesia),2085-4145,2527-2950,100.0,USD - US Dollar
8187,JUPIIS (Jurnal Pendidikan Ilmu-Ilmu Sosial),2085-482X,2407-7429,750000.0,IDR - Rupiah
8188,Jurnal Teknologi dan Industri Pertanian Indonesia,2085-4927,2442-7020,150000.0,IDR - Rupiah
8192,Jurnal Ilmiah Perikanan dan Kelautan,2085-5842,2528-0759,70.0,USD - US Dollar
8193,Beta: Jurnal Tadris Matematika,2085-5893,2541-0458,1000000.0,IDR - Rupiah
8194,Jurnal Pendidikan Jasmani dan Olahraga,2085-6180,2580-071X,750000.0,IDR - Rupiah
8200,Jurnal Agroekoteknologi,2085-7985,,200000.0,IDR - Rupiah
8202,Jurnal Geografi,2085-8167,2549-7057,300000.0,IDR - Rupiah
8210,Kesmas Indonesia: Jurnal Ilmiah Kesehatan Masyarakat,2085-9929,2579-5414,200000.0,IDR - Rupiah
8216,Jurnal Tarbiyatuna,2086-0889,2579-4981,500000.0,IDR - Rupiah
8218,Indonesian Journal of Rheumatology,2086-1435,2581-1142,150.0,USD - US Dollar
8219,Jurnal the Messenger,2086-1559,2527-2810,6.0,USD - US Dollar
8224,Kreano: Jurnal Matematika Kreatif-Inovatif,2086-2334,2442-4218,700000.0,IDR - Rupiah
8227,Masalah-Masalah Hukum,2086-2695,2527-4716,1000000.0,IDR - Rupiah
8228,Jurnal Penelitian Kesehatan Suara Forikes,2086-3098,2502-7778,250000.0,IDR - Rupiah
8229,Economic Journal of Emerging Markets,2086-3128,2502-180X,50.0,USD - US Dollar
8230,Madaniyah: Terciptanya Insan Akademis Berkualitas & Berakhlak Mulia,2086-3462,2548-6993,500000.0,IDR - Rupiah
8235,Bioedukasi: Jurnal Pendidikan Biologi FKIP UM Metro,2086-4701,2442-9805,300000.0,IDR - Rupiah
8236,Lectura: Jurnal Pendidikan,2086-4876,2549-063X,300000.0,IDR - Rupiah
8237,Digital Zone: Jurnal Teknologi Informasi dan Komunikasi,2086-4884,2477-3255,350000.0,IDR - Rupiah
8242,Al-Jabar: Jurnal Pendidikan Matematika,2086-5872,2540-7562,250000.0,IDR - Rupiah
8243,Biosfer: Jurnal Tadris Biologi,2086-5945,2580-4960,500000.0,IDR - Rupiah
8244,"Lensa: Kajian Kebahasaan, Kesusastraan, dan Budaya",2086-6100,2503-328X,100000.0,IDR - Rupiah
8246,Jurnal Ilmu Kesehatan Masyarakat,2086-6380,2548-7949,35.0,USD - US Dollar
8249,"Masyarakat, Kebudayaan dan Politik",2086-7050,2528-6013,500000.0,IDR - Rupiah
8252,Jurnal Akuntansi Multiparadigma,2086-7603,2089-5879,2500000.0,IDR - Rupiah
8254,Jurnal Kesehatan,2086-7751,2548-5695,150000.0,IDR - Rupiah
8256,Al-Tadzkiyyah: Jurnal Pendidikan Islam,2086-9118,2528-2476,250000.0,IDR - Rupiah
8258,Pendipa,2086-9363,2622-9307,500000.0,IDR - Rupiah
8263,Jurnal Manajemen Hutan Tropika,2087-0469,2089-2063,1000000.0,IDR - Rupiah
8268,Binus Business Review,2087-1228,2476-9053,2000000.0,IDR - Rupiah
8269,ComTech,2087-1244,2476-907X,2000000.0,IDR - Rupiah
8270,Al-Iqtishad: Jurnal Ilmu Ekonomi Syariah,2087-135X,2407-8654,50.0,USD - US Dollar
8273,Ilkom Jurnal Ilmiah,2087-1716,2548-7779,500000.0,IDR - Rupiah
8277,Citra Delima,2087-2240,2655-0792,300000.0,IDR - Rupiah
8278,Journal of Experimental Life Science,2087-2852,2338-1655,800000.0,IDR - Rupiah
8280,Jurnal Pembangunan dan Alam Lestari,2087-3522,2338-1671,600000.0,IDR - Rupiah
8281,E-Dimas,2087-3565,2528-5041,350000.0,IDR - Rupiah
8283,Nusantara Bioscience,2087-3948,2087-3956,150.0,USD - US Dollar
8284,Marine Fisheries: Jurnal Teknologi dan Manajemen Perikanan Laut,2087-4235,2541-1659,1000000.0,IDR - Rupiah
8286,Titian Ilmu: Jurnal Ilmiah Multi Sciences,2087-4839,2581-1452,250000.0,IDR - Rupiah
8291,Muqtasid: Jurnal Ekonomi dan Perbankan Syariah,2087-7013,2527-8304,1000000.0,IDR - Rupiah
8295,Journal of the Indonesian Tropical Animal Agriculture,2087-8273,2460-6278,700000.0,IDR - Rupiah
8297,Journal on Mathematics Education,2087-8885,,50.0,USD - US Dollar
8301,Teknologi Pangan: Media Informasi dan Komunikasi Ilmiah Teknologi Pertanian,2087-9679,2597-436X,500000.0,IDR - Rupiah
8302,Jurnal Akuntansi Aktual,2087-9695,2580-1015,500000.0,IDR - Rupiah
8303,Jurnal Penelitian Fisika dan Aplikasinya,2087-9946,,100.0,USD - US Dollar
8307,Teras Jurnal: Jurnal Teknik Sipil,2088-0561,2502-1680,300000.0,IDR - Rupiah
8309,MIX: Jurnal Ilmiah Manajemen,2088-1231,2460-5328,2000000.0,IDR - Rupiah
8314,Edumatica: Jurnal Pendidikan Matematika,2088-2157,2580-0779,800000.0,IDR - Rupiah
8318,Jurnal Pendidikan Vokasi,2088-2866,2476-9401,750000.0,IDR - Rupiah
8324,IJEIS (Indonesian Journal of Electronics and Instrumentation Systems),2088-3714,2460-7681,200000.0,IDR - Rupiah
8332,Jurnal Kawistara,2088-5415,2355-5777,750000.0,IDR - Rupiah
8337,Medical Laboratory Technology Journal,2088-706X,2461-0879,50.0,USD - US Dollar
8339,Jurnal Kesehatan Komunitas (Journal of Community Health),2088-7612,2548-8538,350000.0,IDR - Rupiah
8342,Pastura: Journal of Tropical Forage Science,2088-818X,2549-8444,500000.0,IDR - Rupiah
8348,Aceh International Journal of Science and Technology,2088-9860,,1000000.0,IDR - Rupiah
8358,Premise Journal,2089-3345,2442-482X,300000.0,IDR - Rupiah
8364,Monex: Journal Research Accounting Politeknik Tegal,2089-5321,2549-5046,400000.0,IDR - Rupiah
8367,Share: Jurnal Ekonomi dan Keuangan Islam,2089-6239,2549-0648,70.0,USD - US Dollar
8372,Infinity,2089-6867,2460-9285,1000000.0,IDR - Rupiah
8374,Jurnal Aplikasi Teknologi Pangan,2089-7693,2460-5921,350000.0,IDR - Rupiah
8376,Depik Jurnal,2089-7790,2502-6194,1500000.0,IDR - Rupiah
8377,Jurnal Aksioma,2089-8703,2442-5419,999999.0,IDR - Rupiah
8380,Journal of Transplantation,2090-0007,2090-0015,1025.0,USD - US Dollar
8381,Journal of Parasitology Research,2090-0023,2090-0031,775.0,USD - US Dollar
8382,Journal of Ophthalmology,2090-004X,2090-0058,2100.0,USD - US Dollar
8383,Journal of Electrical and Computer Engineering ,2090-0147,2090-0155,1350.0,USD - US Dollar
8384,Journal of Nucleic Acids,2090-0201,2090-021X,1025.0,USD - US Dollar
8385,International Journal of Hypertension,2090-0384,2090-0392,1300.0,USD - US Dollar
8386,Enzyme Research,2090-0406,2090-0414,775.0,USD - US Dollar
8387,Autoimmune Diseases,2090-0422,2090-0430,1025.0,USD - US Dollar
8389,Journal of Obesity,2090-0708,2090-0716,1025.0,USD - US Dollar
8390,Journal of Nutrition and Metabolism,2090-0724,2090-0732,1025.0,USD - US Dollar
8391,Journal of Advanced Research,2090-1232,2090-1224,650.0,USD - US Dollar
8392,AIDS Research and Treatment,2090-1240,2090-1259,1025.0,USD - US Dollar
8393,Anemia,2090-1267,2090-1275,1025.0,USD - US Dollar
8394,Critical Care Research and Practice,2090-1305,2090-1313,1025.0,USD - US Dollar
8395,Depression Research and Treatment,2090-1321,2090-133X,775.0,USD - US Dollar
8396,International Journal of Surgical Oncology,2090-1402,2090-1410,1025.0,USD - US Dollar
8397,Nursing Research and Practice,2090-1429,2090-1437,1025.0,USD - US Dollar
8398,Minimally Invasive Surgery,2090-1445,2090-1453,1025.0,USD - US Dollar
8399,Tuberculosis Research and Treatment,2090-150X,2090-1518,775.0,USD - US Dollar
8400,Pulmonary Medicine,2090-1836,2090-1844,1025.0,USD - US Dollar
8401,Neurology Research International,2090-1852,2090-1860,1025.0,USD - US Dollar
8402,Autism Research and Treatment,2090-1925,2090-1933,775.0,USD - US Dollar
8403,Radiology Research and Practice,2090-1941,2090-195X,1025.0,USD - US Dollar
8404,Journal of Combustion ,2090-1968,2090-1976,1025.0,USD - US Dollar
8405,International Journal of Medicinal Chemistry ,2090-2069,2090-2077,1025.0,USD - US Dollar
8406,Schizophrenia Research and Treatment,2090-2085,2090-2093,1025.0,USD - US Dollar
8407,International Journal of Nephrology,2090-214X,2090-2158,1025.0,USD - US Dollar
8408,Journal of Aging Research,2090-2204,2090-2212,775.0,USD - US Dollar
8409,Biochemistry Research International,2090-2247,2090-2255,1300.0,USD - US Dollar
8410,Multiple Sclerosis International,2090-2654,2090-2662,1025.0,USD - US Dollar
8411,Journal of Pregnancy,2090-2727,2090-2735,1025.0,USD - US Dollar
8412,International Journal of Vascular Medicine ,2090-2824,2090-2832,1025.0,USD - US Dollar
