journal_full_title,2015,2016,2017,2018,2019,2020,issn,issn_print,issn_electronic,issn_l
Stroke and Vascular Neurology,,1463.32,2016.0,2016.0,1303.74,,2059-8688,2059-8688,2059-8696,2059-8688
Journal of Global Health,975.47,814.3000000000002,4281.280000000002,781.8414814814813,1076.414,,2047-2978,2047-2978,2047-2986,2047-2978
"Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring",1420.215,729.6333333333333,1783.5366666666669,1604.9422222222222,1877.06,,2352-8729,2352-8729,,2352-8729
Molecular Therapy - Methods & Clinical Development,2568.5,3580.82,2600.1325,3022.06,,,2329-0501,2329-0501,,2329-0501
JMIR Serious Games,,1455.52,1546.15,1804.905,1788.36,,2291-9279,,2291-9279,2291-9279
"Evolution, Medicine, and Public Health",,1750.425,2016.0,1422.2375,,,2050-6201,,2050-6201,2050-6201
Clinical & Translational Immunology,,2479.03,,,,,2050-0068,,2050-0068,2050-0068
Journal of Hematology,,605.18,,,,,1927-1212,1927-1212,1927-1220,1927-1212
Veterinary Medicine and Science,,1370.88,1029.025,1217.37,1570.8,,2053-1095,,,2053-1095
Agronomy,,319.03,551.5799999999998,768.0360000000001,878.4193333333334,,2073-4395,,2073-4395,2073-4395
Orthopedic Reviews,,500.0,716.85,749.7,617.25,,2035-8164,2035-8237,2035-8164,2035-8164
Surgery: Current Research,,1719.0,,,,,2161-1076,,2161-1076,2161-1076
Journal of Probiotics & Health,,2122.0,1519.0,,,,2329-8901,,2329-8901,2329-8901
Veterinary Record Open,,1617.0,1980.16,1373.81,1757.3233333333335,,2052-6113,,2052-6113,2052-6113
Journal of Limnology,,520.0,551.5550000000002,595.0,672.35,,1723-8633,1129-5767,1723-8633,1129-5767
Virulence,,852.6,618.06,1813.972,2017.05,,2150-5594,2150-5594,2150-5608,2150-5594
Antibiotics,276.0,343.55,273.0,2015.0,758.44,,2079-6382,,2079-6382,2079-6382
Plant Biotechnology Journal,,1849.656666666667,2457.481111111111,2246.33,2136.1475,,1467-7644,,,1467-7644
Geologia Croatica,,300.0,,,,,1330-030X,1330-030X,1333-4875,1330-030X
Transactions of the London Mathematical Society,816.33,849.69,732.34,1369.45,,,2052-4986,,2052-4986,2052-4986
"International Journal of Advanced Research in Electrical, Electronics and Instrumentation Engineering",,466.74,,,,,2278-8875,2320-3765,2278-8875,2278-8875
Clinical Medical Image Library,,432.43,,,,,2474-3682,,2377-9004,2474-3682
Results in Physics,544.15,468.08,853.43,881.29,648.4057142857142,,2211-3797,2211-3797,,2211-3797
Journal of Energy Challenges and Mechanics,,698.24,,,,,2056-9386,,,2056-9386
Biosensors,288.0,289.915,301.545,260.1066666666666,965.39,,2079-6374,,2079-6374,2079-6374
Antioxidants,,255.08,475.64,370.6,723.4244444444445,,2076-3921,,2076-3921,2076-3921
RSC Advances,1625.96,1791.7126666666666,641.9068269230769,676.0069696969698,939.7270491803281,,2046-2069,,2046-2069,2046-2069
Journal of Gynecology and Women’s Health,,,603.69,,,,2474-7602,,2474-7602,2474-7602
Advances in Microbiology,,,906.6,,,,2165-3402,2165-3402,2165-3410,2165-3402
Advanced Studies in Theoretical Physics,,,330.0,327.25,232.05,,1314-7609,,1314-7609,1313-1311
Journal of Nutrition and Metabolism,,973.455,,,,,2090-0724,2090-0724,2090-0732,2090-0724
International Journal of Forestry Research,,655.77,,,,,1687-9368,1687-9368,1687-9376,1687-9368
"Adolescent Health, Medicine and Therapeutics",1470.0,1884.96,1882.58,,,,1179-318X,,1179-318X,1179-318X
International Journal of Non-Governmental Organizations and Essays,,139.14,,,,,2514-9245,,,2514-9237
Journal of Water Resource and Protection,1138.5,1159.51,934.15,1067.69,,,1945-3094,1945-3094,1945-3108,1945-3094
Open Journal of Geology,,642.64,,,,,2161-7570,2161-7570,2161-7589,2161-7570
Advances in Lung Cancer,,638.26,,,,,2169-2718,2169-2718,2169-2726,2169-2726
Open Journal of Thoracic Surgery,,638.72,,,,,2164-3059,2164-3059,2164-3067,2164-3067
Open Journal of Psychiatry,,865.95,,,,,2161-7325,2161-7325,2161-7333,2161-7325
Primate Biology,,642.6,,,,,2363-4715,,2363-4715,2363-4715
Case Reports in Rheumatology,,431.23,,,,,2090-6889,2090-6889,2090-6897,2090-6897
npj Microgravity,,3927.0,2868.63,1927.5,2570.0,,2373-8065,,2373-8065,2373-8065
Journal of Thrombosis and Circulation: Open Access,,2023.45,,,,,2572-9462,,2572-9462,2572-9462
Geophysical & Astrophysical Fluid Dynamics,739.01,648.01,2015.0,646.98,,,0309-1929,0309-1929,1029-0419,0309-1929
Progress In Electromagnetics Research,400.0,2015.0,2015.0,318.55,540.69,,1559-8985,,1559-8985,1070-4698
Clinical and Experimental Gastroenterology,,,,1678.29,,,1178-7023,,1178-7023,1178-7023
Journal of Tissue Engineering,1100.41,1495.503333333333,1432.5966666666666,1633.4375,2019.504,,2041-7314,2041-7314,2041-7314,2041-7314
Papers from the Institute of Archaeology,384.62,414.09,377.97,,,,2041-9015,,2041-9015,0965-9315
Computational and Structural Biotechnology Journal,499.23,2950.0,736.4833333333332,1562.0,,,2001-0370,2001-0370,,2001-0370
JRSM Open,655.13,665.5875,677.56,,,,2054-2704,2054-2704,2054-2704,2054-2704
CPT: Pharmacometrics & Systems Pharmacology,2214.92,2021.07,1961.5542857142855,1864.9975,,,2163-8306,,2163-8306,2163-8306
Clinical Kidney Journal,,,1494.44,,,,2048-8505,2048-8505,2048-8513,2048-8505
Opticon1826,308.03,,,,,,2049-8128,2049-8128,,2049-8128
Journal of Advanced Transportation,,,1768.34,1703.8633333333335,1951.34,,0197-6729,,,0197-6729
Present Pasts,,415.25,,,,,1759-2941,1759-2941,,1759-2941
EPJ Nonlinear Biomedical Physics,,800.0,,,,,2195-0008,,2195-0008,2195-0008
Journal of Conservation and Museum Studies,367.68,,,,,,1364-0429,1364-0429,,1364-0429
Journal of Open Archaeology Data,123.255,138.62,2015.0,122.01,,,2049-1565,2049-1565,,2049-1565
IEEE Journal of the Electron Devices Society,990.0,2015.0,1303.23,953.5825,1309.62,,2168-6734,,2168-6734,2168-6734
Sociological Research Online,1110.96,2015.0,586.4449999999998,682.53,275.19,,1360-7804,1360-7804,1360-7804,1360-7804
Complexity,2066.57,2015.0,1769.842,1546.5583333333334,2057.475,,1076-2787,,,1076-2787
Solid State Nuclear Magnetic Resonance,3053.995,2976.47,3533.0550000000007,3549.85,2904.93,,0926-2040,0926-2040,,0926-2040
Journal of Diagnostic Imaging in Therapy,586.51,,,,,,2057-3782,,2057-3782,2057-3782
npj Schizophrenia,3053.3266666666664,2015.0,1772.385,2674.09,,,2334-265X,,2334-265X,2334-265X
Neuroepigenetics,2126.16,,,,,,2214-7845,2214-7845,,2214-7845
Cancer Nanotechnology,954.1,791.49,889.7216666666667,793.2075,,,1868-6958,1868-6958,1868-6966,1868-6966
Hereditary Cancer in Clinical Practice,1578.56,1691.0300000000002,,,,,1897-4287,,1897-4287,1731-2302
Perioperative Medicine,1955.98,2032.861666666667,1875.84,1799.2233333333334,,,2047-0525,,2047-0525,2047-0525
Annals of Surgical Innovation and Research,1846.82,,,,,,1750-1164,,1750-1164,1750-1164
Extreme Physiology & Medicine,2087.06,1636.34,,,,,2046-7648,,2046-7648,2046-7648
Cancer Imaging,1945.7,1661.24,1661.24,1641.8275,1635.6533333333334,,1470-7330,,1470-7330,1470-7330
"Endocrinology, Diabetes & Metabolism Case Reports",369.85,354.71,2015.0,581.4933333333332,,,2052-0573,,2052-0573,2052-0573
Integrated Pharmacy Research and Practice,1915.0,2015.0,1525.5,,,,2230-5254,,2230-5254,2230-5254
Frontiers in Mechanical Engineering,1573.14,1219.74,995.73,971.16,1155.4299999999996,,2297-3079,,2297-3079,2297-3079
HPB Surgery,733.81,2015.0,2015.0,771.405,,,0894-8569,0894-8569,1607-8462,0894-8569
Acta Palaeontologica Polonica,534.23,2015.0,613.09,2015.0,166.3,,0567-7920,0567-7920,,0567-7920
Crime Science,959.3033333333333,915.69,844.75,891.61,,,2193-7680,,2193-7680,2193-7680
Open Health Data,119.82,136.85,,,,,2054-7102,2054-7102,,2054-7102
Bulletin of the History of Archaeology,315.66,362.065,,,,,2047-6930,,2047-6930,1062-4740
Internet Archaeology,1157.34,1582.62,879.135,2015.0,2907.25,,1363-5387,,1363-5387,1363-5387
RMD Open,1532.02,2003.015,1904.906666666667,1552.003333333333,,,2056-5933,,2056-5933,2056-5933
International Journal of Qualitative Studies on Health and Well-being,942.8266666666667,1309.3042857142855,1301.498,1381.1433333333332,1316.235,,1748-2631,,1748-2631,1748-2623
Multidisciplinary Respiratory Medicine,1742.53,1517.23,,,,,2049-6958,,2049-6958,1828-695X
Frontiers in Built Environment,1559.76,2015.0,750.528,898.7040000000002,1345.1666666666667,,2297-3362,,2297-3362,2297-3362
Evidence-based Preclinical Medicine,1573.35,2015.0,1353.98,,,,2054-703X,,,2054-703X
Cilia,1977.303333333333,,,,,,2046-2530,,2046-2530,2046-2530
Media and Communication,811.5,800.0,831.2,904.4728571428573,978.44,,2183-2439,,2183-2439,2183-2439
SSM - Population Health,1237.06,1097.444,1109.4869230769232,1185.36,1166.3958333333333,,2352-8273,2352-8273,,2352-8273
Flavour,1439.565,1219.07,1160.71,,,,2044-7248,,2044-7248,2044-7248
Geochemical Perspectives Letters,1219.21,2015.0,1206.39,1320.9525,1250.0,,2410-339X,2410-339X,2410-3403,2410-339X
Endangered Species Research,1151.575,2015.0,450.0,2225.75,,,1863-5407,1863-5407,1613-4796,1613-4796
Applied & Translational Genomics,1483.745,,,,,,2212-0661,2212-0661,,2212-0661
The Lancet Public Health,,4657.2649999999985,4849.958571428571,5086.061764705882,5048.432500000001,,2468-2667,2468-2667,,2468-2667
npj Regenerative Medicine,,4025.42,2919.630000000001,2954.085,2889.21,,2057-3995,,2057-3995,2057-3995
HAU: Journal of Ethnographic Theory,,3029.567777777778,2696.085,3411.75,,,2049-1115,2575-1433,2049-1115,2049-1115
mSystems,,2494.785,2496.96,2459.0533333333333,2161.64,,2379-5077,,2379-5077,2379-5077
Molecular Therapy - Oncolytics,,2345.1,2951.03,2787.1,,,2372-7705,2372-7705,,2372-7705
Open Forum Infectious Diseases,1625.0,1927.14,2178.2133333333336,2417.23,2301.7944444444447,,2328-8957,,2328-8957,2328-8957
Canadian Journal of Gastroenterology and Hepatology,,2240.35,2016.0,1761.52,1916.69,,2291-2789,2291-2789,2291-2797,2291-2789
JPRAS Open,,2274.04,2090.21,1786.46,,,2352-5878,2352-5878,,2352-5878
Regeneration,,1768.04,2119.18,1921.85,,,2052-4412,,,2052-4412
Research Involvement and Engagement,,1947.94,2032.645,1805.375,2371.7433333333333,,2056-7529,,2056-7529,2056-7529
British Journal of Psychiatry Open,,1842.396,1678.8085714285714,1795.551818181818,1690.01,1825.83,2056-4724,,2056-4724,2056-4724
Cell Discovery,1606.655,1830.43,1558.5566666666666,1783.64,,,2056-5968,,2056-5968,2056-5968
Contrast Media & Molecular Imaging,,1981.43,1182.9566666666667,1280.838181818182,1654.0549999999996,,1555-4309,,,1555-4309
BMJ Open Gastroenterology,,2210.535,2265.215,1767.75,1842.332,,2054-4774,,2054-4774,2054-4774
International Journal of General Medicine,,1686.57,1702.382,1681.946666666667,,,1178-7074,,1178-7074,1178-7074
Medical Devices: Evidence and Research,,1650.84,1318.0,1654.825,,,1179-1470,,1179-1470,1179-1470
Rice,1749.39,1558.45,1587.4033333333334,1700.9475,1742.685,,1939-8425,1939-8425,1939-8433,1939-8425
Safety in Health,,1840.93,1396.0,1538.25,,,2056-5917,,2056-5917,2056-5917
Schizophrenia Research: Cognition,442.95,1785.08,2015.0,2015.0,1403.5700000000004,,2215-0013,2215-0013,,2215-0013
Pneumonia,,1642.16,1679.23,1667.16,,,2200-6133,,2200-6133,2200-6133
Annals of Glaciology,,1634.99,1769.975,1538.388,1732.105,,0260-3055,0260-3055,1727-5644,0260-3055
Scoliosis and Spinal Disorders,,1543.42,1820.86,,,,2397-1789,,2397-1789,2397-1789
Obesity Science & Practice,,1292.78,2016.0,2016.0,1837.265,,2055-2238,,,2055-2238
Research Integrity and Peer Review,,1427.4,1538.25,,,,2058-8615,,2058-8615,2058-8615
Chemical Science,1654.0966666666666,2015.0,2015.0,1399.49,,,2041-6520,2041-6520,2041-6539,2041-6520
Advances in Simulation,,1382.03,1463.145,1828.634,,,2059-0628,,2059-0628,2059-0628
Journal of Ophthalmic Inflammation and Infection,,1394.05,1326.38,1380.4,,,1869-5760,,1869-5760,1869-5760
Food and Energy Security,,1439.54,2016.0,1909.253333333333,,,2048-3694,,,2048-3694
Earth and Space Science,,1402.2,1051.1133333333337,852.245,,,2333-5084,,,2333-5084
ACM Transactions on Architecture and Code Optimization,,1141.35,1337.13,1178.92,,,1544-3566,1544-3566,,1544-3566
Patient Related Outcome Measures,,1430.24,1746.24,,,,1179-271X,,1179-271X,1179-271X
Endocrine Connections,984.33,1228.785,1331.6799999999996,1575.9779999999998,2078.056666666667,,2049-3614,2049-3614,2049-3614,2049-3614
IEEE Transactions on Emerging Topics in Computing,,1247.18,2016.0,2016.0,1988.76,,2168-6750,,2168-6750,2168-6750
Heliyon,1353.94,1239.685,1220.9423076923074,1195.7146666666667,1253.6546666666668,1080.0,2405-8440,2405-8440,,2405-8440
Journal of Interdisciplinary Nanomedicine,,1228.09,2016.0,1119.2025,,,2058-3273,,,2058-3273
International Journal of Low-Carbon Technologies,1216.05,1139.1550000000002,2015.0,514.6949999999998,,,1748-1317,1748-1317,1748-1325,1748-1317
International Journal of Surgery Open,,1178.15,,,,,2405-8572,2405-8572,,2405-8572
Urban Planning,,905.0,817.6475,1003.655,1071.0,,2183-7635,,2183-7635,2183-7635
IUCrJ,,1076.62,1226.1366666666668,1272.73,1340.5975,,2052-2525,,2052-2525,2052-2525
Cogent Arts & Humanities,,1090.36,908.68,1603.375,,,2331-1983,,2331-1983,2331-1983
Cogent Engineering,,902.6866666666666,1161.955,1182.6925,1206.96,,2331-1916,,2331-1916,2331-1916
Contemporary Clinical Trials Communications,,1030.39,1076.47,2007.01,1906.953333333333,,2451-8654,2451-8654,,2451-8654
Atmospheric Science Letters,1239.94,887.15,1135.0075,916.51,1038.67,,1530-261X,,,1530-261X
Molecular Imaging,,1947.25,2016.0,1208.55,,,1536-0121,1536-0121,1536-0121,1535-3508
Sensing and Bio-Sensing Research,,804.9399999999998,1969.93,2016.0,830.97,,2214-1804,2214-1804,,2214-1804
Elementa: Science of the Anthropocene,,874.51,1423.4475,1301.36,1697.97,,2325-1026,,2325-1026,2325-1026
Shock and Vibration,,824.96,1227.0,,,,1070-9622,1070-9622,1875-9203,1070-9622
Stroke Research and Treatment,744.0,819.78,1066.395,,,,2090-8105,2090-8105,2042-0056,2042-0056
Comparative Cognition & Behavior Reviews,,881.6,,,,,1911-4745,,1911-4745,1911-4745
Security Informatics,,707.58,,,,,2190-8532,,2190-8532,2190-8532
MethodsX,,531.17,439.96333333333337,555.29,539.726,,2215-0161,2215-0161,,2215-0161
Cardiology Research,,492.96,,,,,1923-2829,1923-2829,1923-2837,1923-2829
Case Studies in Structural Engineering,,535.52,,,,,2214-3998,2214-3998,,2214-3998
Case Studies in Thermal Engineering,446.0,515.835,490.515,,,,2214-157X,2214-157X,,2214-157X
ACS Central Science,,528.95,998.77,736.27,889.21,,2374-7943,2374-7943,2374-7951,2374-7943
"Regional Studies, Regional Science",542.0,402.93,2015.0,1502.3249999999996,828.8199999999998,,2168-1376,,2168-1376,2168-1376
IOP Conference Series: Materials Science and Engineering,,461.38,,,,,1757-8981,1757-8981,1757-899X,1757-8981
Global Qualitative Nursing Research,335.0,389.18666666666667,2015.0,209.5,,,2333-3936,2333-3936,2333-3936,2333-3936
Manufacturing Review,,423.14,,,,,2265-4224,,2265-4224,2265-4224
IDCases,359.11,405.89,2015.0,399.84,,,2214-2509,2214-2509,,2214-2509
Archaeology International,,415.46,746.46,748.2750000000003,840.75,,2048-4194,1463-1725,2048-4194,1463-1725
Modern Languages Open,425.365,402.58,,,,,2052-5397,,2052-5397,2052-5397
Buildings,,247.91,309.4600000000001,366.65,531.645,,2075-5309,,2075-5309,2075-5309
Engineering Applications of Computational Fluid Mechanics,,560.0,546.84,1113.0,,,1994-2060,1994-2060,1997-003X,1994-2060
Journal of Aging Research,,726.0,2016.0,668.07,,,2090-2204,2090-2204,2090-2212,2090-2204
Ampersand,440.0,541.18,2015.0,636.0,,,2215-0390,2215-0390,,2215-0390
Operations Research Perspectives,498.0,584.12,586.49,478.6775,,,2214-7160,2214-7160,2214-7160,2214-7160
International Journal of Adolescence and Youth,589.0,577.5,616.8333333333334,620.0,688.232,,0267-3843,0267-3843,2164-4527,0267-3843
The Open Nursing Journal,747.0,2015.0,704.9,,,,1874-4346,1874-4346,1874-4346,1874-4346
Open Access Journal of Sports Medicine,,1761.26,1210.0,,,,1179-1543,,1179-1543,1179-1543
Nordic Journal of Literacy Research,,670.5,1373.0,1304.76,1184.39,,2464-1596,,2464-1596,2464-1596
Global Journal of Health Science,,578.31,489.0,,,,1916-9744,1916-9736,1916-9744,1916-9736
Advances in Operations Research,,,867.0,897.29,,,1687-9147,1687-9147,1687-9155,1687-9147
Clinical Proteomics,,1405.5,1804.135,1640.15,1576.5,,1542-6416,1542-6416,1559-0275,1542-6416
Clinical Diabetes and Endocrinology,,1743.0,,,,,2055-8260,,2055-8260,2055-8260
European Clinical Respiratory Journal,,1667.375,1102.685,1644.37,,,2001-8525,,2001-8525,2001-8525
Journal of Hip Preservation Surgery,,960.0,800.0,2016.0,849.66,,2054-8397,,2054-8397,2054-8397
International Journal of Spectroscopy,,,1013.0,,,,1687-9449,1687-9449,1687-9457,1687-9449
Climate Risk Management,,,1434.87,1370.2266666666667,1348.56,,2212-0963,2212-0963,,2212-0963
Advances in Radiation Oncology,,,1794.0,1981.54,,,2452-1094,2452-1094,,2452-1094
Journal of Community Medicine & Health Education,1873.0,2015.0,1819.0,,,,2161-0711,,2161-0711,2161-0711
Sexualities,,,1822.0,268.67,,,1363-4607,1363-4607,1461-7382,1363-4607
Journal of the International Association of Providers of AIDS Care (JIAPAC),,,2565.0,656.28,666.02,,2325-9582,2325-9582,2325-9582,2325-9574
Biodiversity Data Journal,,,309.8,301.95,381.93,,1314-2828,1314-2836,1314-2828,1314-2828
"INQUIRY: The Journal of Health Care Organization, Provision, and Financing",,,404.0,1010.07,1006.21,,0046-9580,0046-9580,1945-7243,0046-9580
Journal of Hospital Administration,277.21,2015.0,416.0,,,,1927-7008,1927-6990,1927-7008,1927-6990
EJVES Short Reports,,,449.0,221.25,,,2405-6553,2405-6553,,2405-6553
Insights into Imaging,,,841.0,2017.0,1274.25,,1869-4101,,1869-4101,1869-4101
European Radiology Experimental,,,,1201.2466666666667,1328.6733333333332,,2509-9280,,2509-9280,2509-9280
"Advances in Science, Technology and Engineering Systems Journal",,,,178.95,,,2415-6698,,2415-6698,2415-6698
Communications Biology,,,2000.0,1882.580714285714,2520.451666666667,,2399-3642,,2399-3642,2399-3642
Molecular Case Studies,,,1674.99,1286.73,,,2373-2865,2373-2865,2373-2873,2373-2873
Social Cognitive and Affective Neuroscience,,,1131.0744444444445,1215.6460000000004,1429.205,,1749-5016,1749-5016,1749-5024,1749-5016
European Journal of Hybrid Imaging,,,1943.41,1510.75,,,2510-3636,,2510-3636,2510-3636
Research and Practice in Thrombosis and Haemostasis,,,,1638.1,1350.19,,2475-0379,,,2475-0379
International Medical Case Reports Journal,,,,1684.7866666666666,1999.2,,1179-142X,,1179-142X,1179-142X
Journal of Clinical Medicine,,249.93,596.5133333333333,572.6883333333334,1364.9243956043954,1685.26,2077-0383,,2077-0383,2077-0383
Translational Oncology,,,2403.9233333333336,2043.6466666666668,2017.0,1913.52,1936-5233,1936-5233,,1936-5233
Hepatology Communications,,,2535.5,2515.34,1608.88,,2471-254X,2471-254X,2471-254X,2471-254X
Journal of Oral Microbiology,1643.15,1659.1825,2310.0,2778.3,,,2000-2297,,2000-2297,2000-2297
Research Ideas and Outcomes,,,424.52333333333326,372.915,403.41,,2367-7163,,2367-7163,2367-7163
Journal of Genomics,,,514.375,419.92,491.37,,1839-9940,,,1839-9940
Microorganisms,,,338.2033333333333,585.9019999999999,824.893,1617.95,2076-2607,,2076-2607,2076-2607
Citizen Science: Theory and Practice,,,,455.555,,,2057-4991,,2057-4991,2057-4991
The Open AIDS Journal,,,,572.82,,,1874-6136,1874-6136,,1874-6136
The Brazilian Journal of Infectious Diseases,,,,600.47,,,1413-8670,1413-8670,,1413-8670
Infectious Diseases in Obstetrics and Gynecology,,,,657.38,,,1064-7449,1064-7449,1098-0997,1064-7449
SAGE Open Medicine,,696.89,858.025,794.8199999999998,918.8783333333334,,2050-3121,2050-3121,2050-3121,2050-3121
International Journal of Qualitative Methods,,,970.06,780.04,826.6899999999998,,1609-4069,1609-4069,1609-4069,1609-4069
Journal of Information Technology & Software Engineering,,,,531.0,,,2165-7866,,2165-7866,2165-7866
JAMA Network Open,,,,2802.248,2944.14125,,2574-3805,,2574-3805,2574-3805
Production & Manufacturing Research,,421.0,673.4879999999998,788.25,600.2833333333333,,2169-3277,,2169-3277,2169-3277
Nordic Journal of Working Life Studies,273.0,276.0,2015.0,264.88666666666666,265.086,,2245-0157,,2245-0157,2245-0157
International Journal of Computer Games Technology,,,,835.98,1055.24,,1687-7047,1687-7047,1687-7055,1687-7047
Open Access Journal of Toxicology,,,,842.26,,,2474-7599,,2474-7599,2474-7599
Journal of Childhood & Developmental Disorders,,,660.78,,,,2472-1786,,2472-1786,2472-1786
Materials & Design,,,,,1840.918571428572,,0264-1275,0264-1275,,0264-1275
Technologies,,,,292.64,534.23,,2227-7080,,2227-7080,2227-7080
Results in Materials,,,,,835.1500000000002,,2590-048X,2590-048X,,2590-048X
Clinical Practice & Epidemiology in Mental Health,562.52,2015.0,698.6666666666665,765.0,,,1745-0179,1745-0179,,1745-0179
Wireless Communications and Mobile Computing,,,1925.0,1944.62,1997.035,,1530-8669,1530-8669,1530-8677,1530-8669
Processes,,,281.7,411.6350000000001,859.605,,2227-9717,,2227-9717,2227-9717
Case Reports in Plastic Surgery and Hand Surgery,520.5,199.0,,,,,2332-0885,,2332-0885,2332-0885
Kidney International Reports,,,1262.306,1570.9799999999998,,,2468-0249,2468-0249,,2468-0249
Papillomavirus Research,,,510.38666666666666,613.25,1430.795,,2405-8521,2405-8521,,2405-8521
Advances in Optical Technologies,185.0,,,,,,1687-6393,1687-6393,1687-6407,1687-6393
Scientific Programming,650.04,,,,,,1058-9244,1058-9244,1875-919X,1058-9244
Procedia Engineering,2145.0,,,,,,1877-7058,1877-7058,,1877-7058
International Journal of Sustainable Built Environment,2570.0,,,,,,2212-6090,2212-6090,,2212-6090
Journal of Rock Mechanics and Geotechnical Engineering,2570.0,,,,,,1674-7755,1674-7755,,1674-7755
Procedia - Social and Behavioral Sciences,2570.0,,,,,,1877-0428,1877-0428,,1877-0428
SoftwareX,448.0,2015.0,547.5060000000002,505.6085714285714,511.7,,2352-7110,2352-7110,,2352-7110
Resources,,230.0,239.03,268.37,423.5,,2079-9276,,2079-9276,2079-9276
Modelling and Simulation in Engineering,,853.0,818.0,,,,1687-5591,1687-5591,1687-5605,1687-5605
Advances in Tribology,,853.0,,,,,1687-5915,1687-5915,1687-5923,1687-5915
Advances in Civil Engineering,,,1227.0,,,,1687-8086,1687-8086,1687-8094,1687-8086
"International Journal of Turbomachinery, Propulsion and Power",,,251.0,267.75,255.71333333333337,,2504-186X,,2504-186X,2504-186X
Machines,,,301.52,279.36,,,2075-1702,,2075-1702,2075-1702
Photonics,,,293.0,256.39,,,2304-6732,,2304-6732,2304-6732
American Journal of Computational Mathematics,,,525.0,,,,2161-1203,2161-1203,2161-1211,2161-1203
European Transport Research Review,,840.0,986.65,1015.0933333333332,1007.4666666666667,,1867-0717,1867-0717,1866-8887,1866-8887
IEEE Transactions on Control of Network Systems,,,,107.5,,,2325-5870,,2325-5870,2325-5870
npj Materials Degradation,,,,1740.2,1719.15,,2397-2106,,2397-2106,2397-2106
IEEE Microwave and Wireless Components Letters,,,,1791.0,,,1531-1309,1531-1309,1558-1764,1531-1309
IEEE Transactions on Green Communications and Networking,,,,236.0,,,2473-2400,,2473-2400,2473-2400
Aerosol and Air Quality Research,,,340.0,363.0,273.55,,1680-8584,1680-8584,2071-1409,1680-8584
Transactions of the International Society for Music Information Retrieval,,,,413.98,,,2514-3298,,2514-3298,2514-3298
Cogent Business & Management,,701.92,1367.35,829.1419999999999,,,2331-1975,,2331-1975,2331-1975
"Sustainability: Science, Practice and Policy",,,,554.0,630.7,,1548-7733,,1548-7733,1548-7733
Journal of Electromagnetic Analysis and Applications,820.41,2015.0,711.33,892.01,,,1942-0730,1942-0730,1942-0749,1942-0730
Journal of Integrative Environmental Sciences,,,,877.79,876.6,,1943-815X,1943-815X,1943-8168,1943-815X
JSES Open Access,,,1121.0,,,,2468-6026,2468-6026,,2468-6026
Neurobiology of Stress,,,1424.1133333333335,1535.1,1531.21,,2352-2895,2352-2895,,2352-2895
BDJ Open,,,1605.0,2017.0,2085.01,,2056-807X,,2056-807X,2056-807X
The Journal of Deaf Studies and Deaf Education,,,2438.0,,,,1081-4159,1081-4159,1465-7325,1081-4159
Oxford Medical Case Reports,,,426.575,,,,2053-8855,,2053-8855,2053-8855
European Countryside,,,75.0,113.05,,,1803-8417,,1803-8417,1803-8417
Journal of Biomedical Optics,,,,1138.2,1463.6050000000002,1348.92,1083-3668,1083-3668,,1083-3668
JMIR Human Factors,,,1551.8233333333335,1315.0,,,2292-9495,,2292-9495,2292-9495
Health Science Reports,,,1710.75,1338.0,,,2398-8835,,,2398-8835
JMIR Medical Education,,,,1456.0600000000004,1706.53,,2369-3762,,2369-3762,2369-3762
Journal of Reproduction and Development,,,,1360.5,,,0916-8818,0916-8818,1348-4400,0916-8818
Journal of Rehabilitation Medicine,941.0,2015.0,1687.45,1648.0,1626.736666666667,,1650-1977,1650-1977,,1650-1977
Journal of Education and Culture Studies,,,,200.0,,,2573-041X,2573-0401,2573-041X,2573-0401
Biology,289.58,2015.0,2015.0,427.0,613.65,,2079-7737,,2079-7737,2079-7737
Western Journal of Emergency Medicine,,,,439.9,,,1936-9018,,1936-9018,1936-900X
Journal of Evidence-Based Integrative Medicine,,,,507.9,,,2515-690X,2515-690X,2515-690X,2515-690X
Journal of Physics Communications,,,,798.8226666666669,1046.5714285714287,,2399-6528,,2399-6528,2399-6528
Frontiers in Sustainable Food Systems,,,,731.9283333333334,704.8249999999998,,2571-581X,,2571-581X,2571-581X
Big Data & Society,,,,768.1416666666668,,,2053-9517,2053-9517,2053-9517,2053-9517
Royal Society Open Science,,,,1050.8415384615384,1129.775,,2054-5703,2054-5703,2054-5703,2054-5703
Journal of Education and Training,,,,85.4,,,2330-9709,,2330-9709,2330-9709
Energy Strategy Reviews,,,,2506.065,1059.64,,2211-467X,2211-467X,,2211-467X
BJGP Open,,,1066.1275,1367.395,1179.29,,2398-3795,,2398-3795,2398-3795
npj Computational Materials,,,1778.2,1560.0,1427.0839999999998,,2057-3960,,2057-3960,2057-3960
Annals of Translational Medicine,,,,,1263.07,,2305-5839,2305-5839,2305-5847,2305-5839
IEEE Open Journal of the Communications Society,,,,,1283.27,,2644-125X,,2644-125X,2644-125X
Environment International,,,,,1713.025,,0160-4120,0160-4120,,0160-4120
Crohn's & Colitis 360,,,,,1582.99,,2631-827X,,2631-827X,2631-827X
BJS Open,,,,,1594.205,,2474-9842,2474-9842,2474-9842,2474-9842
Journal of Innate Immunity,,,,,1455.185,,1662-811X,1662-811X,1662-8128,1662-811X
World Journal of Clinical Cases,,,,,2128.53,,2307-8960,2307-8960,,2307-8960
